time,old_cpps,new_cpps,current_cmas
150,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.5826820872966), 'lod': np.float64(1.7530989333156006)}"
155,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(378.63925112577084), 'lod': np.float64(1.8389255826240396)}"
160,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.21263696687055), 'lod': np.float64(1.8178822736285578)}"
165,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.6664232776724), 'lod': np.float64(1.7455143884328408)}"
170,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.6165551640748), 'lod': np.float64(1.8035318689578816)}"
175,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.282194969897), 'lod': np.float64(1.8665221950531505)}"
180,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(382.3243897131128), 'lod': np.float64(1.8716228187634003)}"
185,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.85020801320167), 'lod': np.float64(1.8214632485367257)}"
190,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.52904793100305), 'lod': np.float64(1.7714460944782884)}"
195,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.23558378516515), 'lod': np.float64(1.8275895247671046)}"
200,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(371.7555188479351), 'lod': np.float64(1.77493233408898)}"
205,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(383.2857315323514), 'lod': np.float64(1.7502318898266838)}"
210,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(390.0313967663169), 'lod': np.float64(1.897795730271873)}"
215,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(373.8113645785781), 'lod': np.float64(1.7079590498703663)}"
220,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.64798438660347), 'lod': np.float64(1.8123985261600888)}"
225,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.4142616555411), 'lod': np.float64(1.864282793890007)}"
230,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(389.55128280648887), 'lod': np.float64(1.8209762928612319)}"
235,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(378.35239865614875), 'lod': np.float64(1.7047799223746203)}"
240,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.0880691845031), 'lod': np.float64(1.7763392155880273)}"
245,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.68779393532384), 'lod': np.float64(1.899464464671016)}"
250,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(384.35854487956516), 'lod': np.float64(1.9251163557075393)}"
255,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.07994127080616), 'lod': np.float64(1.8287893432450313)}"
260,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(371.3806307363001), 'lod': np.float64(1.8606166841512448)}"
265,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(382.9206194357938), 'lod': np.float64(1.7505477085291175)}"
270,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(383.9061177022327), 'lod': np.float64(1.7802759115519144)}"
275,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.1606060792714), 'lod': np.float64(1.8308690572916217)}"
280,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.17653142638903), 'lod': np.float64(1.9465328114384544)}"
285,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(379.8197490378547), 'lod': np.float64(1.9291113234055803)}"
290,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.420139179379), 'lod': np.float64(1.8279878493238333)}"
295,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.0854883280039), 'lod': np.float64(1.827766786130954)}"
300,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(383.5126002251337), 'lod': np.float64(1.8090279413505157)}"
305,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(382.99948542367724), 'lod': np.float64(1.8539301306269698)}"
310,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.7752848646804), 'lod': np.float64(1.8845203058805928)}"
315,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(371.26533399333283), 'lod': np.float64(1.9401632075610875)}"
320,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(378.0487336454563), 'lod': np.float64(1.9483448172268076)}"
325,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(388.97243761663367), 'lod': np.float64(1.9224645765657522)}"
330,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(376.85934710750576), 'lod': np.float64(1.8423165484770725)}"
335,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(385.9580831043951), 'lod': np.float64(1.766517539493468)}"
340,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(383.3360174621231), 'lod': np.float64(1.8154135460480127)}"
345,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(377.92282631281154), 'lod': np.float64(1.9324669078242718)}"
350,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(377.11404203931176), 'lod': np.float64(1.9301803487258846)}"
355,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.78274447792006), 'lod': np.float64(1.8724521769142246)}"
360,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.26666598636723), 'lod': np.float64(1.7950319425958394)}"
365,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.7068834173954), 'lod': np.float64(1.8340019730282986)}"
370,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(370.5232859852487), 'lod': np.float64(1.8227037707768379)}"
375,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.1114909113524), 'lod': np.float64(1.8209205413155458)}"
380,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(376.84946801071806), 'lod': np.float64(1.8981238080525893)}"
385,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(383.2664168191843), 'lod': np.float64(1.8681116948598553)}"
390,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.61616214657323), 'lod': np.float64(1.8328210751484257)}"
395,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(381.8757482375699), 'lod': np.float64(1.912718807290356)}"
400,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(384.4190761717869), 'lod': np.float64(1.8796612717880874)}"
