time,old_cpps,new_cpps,current_cmas
100,"{'spray_rate': 100.0, 'air_flow': 450.0, 'carousel_speed': 25.0}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(475.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(407.4713632127399), 'lod': np.float64(2.2337043010996083)}"
105,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(475.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(399.8852892081006), 'lod': np.float64(2.223664382546296)}"
110,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(399.95253973163835), 'lod': np.float64(1.9904402526638225)}"
115,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(376.07582398332124), 'lod': np.float64(2.0074325230284433)}"
120,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.76505344974345), 'lod': np.float64(1.9033206607556907)}"
125,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(373.42323737023173), 'lod': np.float64(1.8668346334877919)}"
130,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(375.09300478401656), 'lod': np.float64(1.7721918345648087)}"
135,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(386.9340235872375), 'lod': np.float64(1.7000079454620343)}"
140,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(380.2952438681632), 'lod': np.float64(1.8067157708757275)}"
145,"{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'spray_rate': np.float64(90.0), 'air_flow': np.float64(500.0), 'carousel_speed': np.float64(25.0)}","{'d50': np.float64(378.68704589012054), 'lod': np.float64(1.7534312178462432)}"
